x,y,z,best_yaw_ang,best_pitch_ang
-626.527,-16.6776,2.47132,90,0
-631.574,-18.4997,2.44034,60,0
-636.656,-20.3308,2.38957,60,0
-641.472,-22.0616,2.38535,60,0
-646.321,-23.8436,2.36236,60,0
-651.235,-25.6443,2.33575,330,0
-656.193,-27.4714,2.28812,0,0
-661.229,-29.3423,2.28566,0,0
-666.29,-31.1203,2.26319,0,0
-671.367,-32.9182,2.24962,150,0
-676.47,-34.6848,2.24127,150,0
-681.572,-36.454,2.22903,120,0
-686.31,-38.1266,2.23291,90,0
-691.388,-39.9348,2.24705,60,0
-696.488,-41.6904,2.25954,60,0
-701.549,-43.4624,2.28974,180,0
-706.613,-45.2633,2.31058,210,0
-711.545,-47.0136,2.31483,210,0
-716.554,-48.8184,2.32354,210,0
-721.486,-50.5704,2.293,0,0
-726.439,-52.3437,2.32183,30,0
-731.153,-54.0546,2.34128,0,0
-736.036,-55.8309,2.35097,240,0
-741.08,-57.6754,2.39053,270,0
-745.986,-59.4366,2.40241,270,0
-750.796,-61.1804,2.41273,210,0
-755.567,-62.8954,2.43098,240,0
-760.369,-64.6125,2.47425,150,0
-765.086,-66.3197,2.47161,120,0
-769.76,-68.5254,2.48295,330,0
-773.411,-71.9752,2.62429,90,0
-775.02,-76.7331,2.78422,30,0
-774.952,-81.7406,3.12404,30,0
-773.954,-86.6353,3.3998,60,0
-772.518,-91.543,3.43935,150,0
-770.877,-96.3469,3.48906,300,0
-769.201,-101.247,3.4772,300,0
-767.434,-106.279,3.48815,270,0
-765.631,-111.025,3.4622,300,0
-763.781,-115.896,3.27046,300,0
-762.007,-120.688,3.11235,60,0
-760.337,-125.668,3.01425,120,0
-758.442,-130.611,2.96302,120,0
-756.458,-135.583,2.91449,300,0
-754.496,-140.345,2.89834,300,0
-752.531,-145.216,2.89987,120,0
-750.589,-149.834,2.84251,120,0
-748.693,-154.642,2.82616,90,0
-746.714,-159.669,2.82253,120,0
-744.809,-164.436,2.74696,120,0
-742.878,-169.255,2.72,120,0
-740.832,-174.104,2.65618,150,0
-738.808,-178.914,2.61106,120,0
-736.738,-183.749,2.5653,300,0
-734.554,-188.576,2.48051,300,0
-732.277,-193.387,2.41601,300,0
-729.831,-198.132,2.3595,300,0
-727.344,-202.871,2.30207,120,0
-724.718,-207.622,2.29413,120,0
-721.926,-212.319,2.23658,120,0
-719.188,-217.023,2.19402,120,0
-716.278,-221.686,2.15107,300,0
-713.465,-225.893,2.14715,300,0
-710.63,-230.071,2.13088,300,0
-707.569,-234.171,2.12627,120,0
-704.48,-238.325,2.10357,120,0
-701.243,-242.328,2.12328,150,0
-697.983,-246.237,2.16953,120,0
-694.449,-250.409,2.19859,120,0
-690.954,-254.398,2.18377,300,0
-687.512,-258.165,2.16635,300,0
-683.792,-262.084,2.15932,330,0
-680.171,-265.85,2.17094,150,0
-676.337,-269.56,2.16529,120,0
-672.608,-272.988,2.16483,330,0
-668.794,-276.387,2.17451,330,0
-664.827,-279.869,2.15398,300,0
-660.904,-283.271,2.16047,120,0
-656.755,-286.675,2.12331,180,0
-652.542,-289.966,2.09067,150,0
-648.399,-293.188,2.0451,330,0
-644.223,-296.267,2.05936,330,0
-639.766,-299.4,2.02779,330,0
-635.354,-302.28,2.00296,330,0
-631.067,-304.975,2.05423,150,0
-626.612,-307.521,2.07257,150,0
-622.197,-309.876,2.05863,150,0
-617.389,-312.254,2.08547,150,0
-612.582,-314.468,2.09541,150,0
-607.757,-316.602,2.11653,150,0
-602.881,-318.643,2.12505,330,0
-598.012,-320.682,2.10834,330,0
-593.077,-322.697,2.14924,300,0
-588.228,-324.745,2.13843,270,0
-583.302,-326.834,2.15618,210,0
-578.663,-328.755,2.14032,180,0
-573.932,-330.819,2.15704,180,0
-569.246,-332.828,2.13926,150,0
-564.366,-334.761,2.15808,150,0
-559.55,-336.618,2.16712,120,0
-554.819,-338.339,2.14471,120,0
-549.903,-339.972,2.1331,300,0
-544.985,-341.359,2.07132,300,0
-539.735,-342.434,2.03888,330,0
-534.669,-342.849,2.02245,60,0
-529.449,-342.617,2.02457,90,0
-524.261,-341.769,2.02378,120,0
-519.12,-340.248,2.03234,120,0
-514.193,-338.517,2.05951,150,0
-509.203,-336.716,2.08192,150,0
-504.304,-334.94,2.09395,90,0
-499.47,-333.221,2.10975,90,0
-494.352,-331.458,2.10241,150,0
-489.524,-329.768,2.15152,60,0
-484.565,-328.012,2.16865,60,0
-479.538,-326.239,2.1725,90,0
-474.434,-324.413,2.17597,120,0
-469.285,-322.577,2.14873,150,0
-464.549,-320.877,2.14128,150,0
-459.775,-319.1,2.15245,210,0
-455.009,-317.335,2.16212,210,0
-450.177,-315.535,2.14801,60,0
-445.333,-313.671,2.13655,60,0
-440.494,-311.852,2.17495,60,0
-435.701,-310.131,2.14832,90,0
-430.902,-308.392,2.13669,120,0
-426.044,-306.645,2.12116,120,0
-421.266,-304.985,2.10298,90,0
-416.179,-303.247,2.10478,120,0
-411.249,-301.53,2.09935,90,0
-406.4,-299.875,2.08617,120,0
-401.286,-298.121,2.09823,120,0
-396.395,-296.408,2.11057,90,0
-391.66,-294.717,2.07868,120,0
-386.704,-292.885,2.08488,90,0
-381.901,-291.181,2.09144,90,0
-377.057,-289.33,2.10935,120,0
-372.074,-287.404,2.11803,330,0
-367.142,-285.434,2.11908,300,0
-362.394,-283.555,2.10225,300,0
-357.462,-281.527,2.11393,300,0
